[DEBUG] - [2017/08/17 11:29:29.862]【IMCORE-本机QoS】【QoS发送方】=========== 消息发送质量保证线程已成功启动 | (QoS4SendDaemonRoot^startup:292)
[DEBUG] - [2017/08/17 13:36:35.522]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:35.543][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:35.556]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:35.558][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为1318be77-59a6-4295-8809-499f2ab85f2a的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:35.689][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:35.705]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:35.708]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:35.739][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:35.740]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:35.741][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为dc932e19-5b87-482f-8856-994856c4a812的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:35.865][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:35.867]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:35.868]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:35.886][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:35.893]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:35.896][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为9c24c363-7524-493f-b22d-b2d0a9ddb7b0的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:39.673][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:39.675]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:39.676]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=nnp | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:39.796][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:39.805]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:39.809][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为a98d12a1-bb05-4c79-8851-006d17f75aff的应答包已成功转发？true | (LogicProcessor^processACK:189)
[DEBUG] - [2017/08/17 13:36:46.137]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.138]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.139]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.140]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.141]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.143]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.144]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.146]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.147]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.149]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.150]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.152]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.154]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.170]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.171]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.172]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.173]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.174]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.174]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.175]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.176]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.177]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.178]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.180]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:36:46.182]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:36:46.183]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[INFO] - [2017/08/17 13:36:53.898][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的退出登陆请求. | (ServerCoreHandler^messageReceived:219)
[INFO] - [2017/08/17 13:36:53.901][IMCORE]与{uid:1}/192.168.1.188:51301的会话关闭(user_id=1)了... | (ServerCoreHandler^sessionClosed:265)
[DEBUG] - [2017/08/17 13:36:53.903]【DEBUG_回调通知OnUserLogoutAction_CallBack】用户：1 离线了！ | (ServerEventListenerImpl^onUserLogoutAction_CallBack:88)
[DEBUG] - [2017/08/17 13:39:29.862]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:39:29.863]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:44:29.861]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:44:29.862]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 13:49:29.865]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 13:49:29.874]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
